homeOdd,drawOdd,awayOdd,result,date,league,homeTeam,awayTeam,homeGoals,awayGoals
1.4,5.16,2.06,2,2016-05-20,ENG PL,Manchester City,Liverpool,1,2
1.28,3.97,2.85,2,2020-06-02,FRA Ligue 1,Real Madrid,PSG,1,5
3.48,4.72,3.85,1,2013-07-04,SPA LaLiga,Bayern,Chelsea,1,0
3.5,5.3,5.97,1,2022-03-19,SPA LaLiga,Inter,Bayern,3,2
4.01,4.17,4.1,2,2020-09-12,ENG PL,Barcelona,PSG,0,2
4.22,2.72,2.16,X,2011-11-29,GER Bundesliga,Barcelona,Milan,4,4
2.41,3.36,3.06,X,2012-06-26,GER Bundesliga,Bayern,Manchester City,2,2
3.54,4.7,4.21,1,2018-02-16,SPA LaLiga,Chelsea,Barcelona,2,1
2.56,3.6,5.92,1,2022-12-20,ENG PL,Juventus,Real Madrid,4,2
3.55,2.86,2.56,2,2016-07-20,SPA LaLiga,Real Madrid,Bayern,3,5
2.41,2.55,2.98,2,2012-08-29,ITA Serie A,Milan,Real Madrid,0,4
1.79,4.47,4.13,X,2013-08-01,SPA LaLiga,Barcelona,Inter,0,0
3.57,2.86,4.77,X,2016-05-10,ENG PL,PSG,Barcelona,5,5
4.21,5.27,1.88,X,2021-05-26,FRA Ligue 1,PSG,Manchester City,5,5
1.55,4.63,3.65,1,2021-10-05,ITA Serie A,Chelsea,Bayern,5,4
4.49,5.36,5.18,X,2018-01-21,ITA Serie A,Barcelona,Real Madrid,5,5
4.64,3.67,4.47,1,2019-07-14,ITA Serie A,Chelsea,Milan,3,0
2.92,4.83,1.65,2,2011-01-25,FRA Ligue 1,Liverpool,Milan,0,3
4.96,5.02,2.33,1,2020-07-17,GER Bundesliga,Manchester City,Juventus,4,1
3.9,4.28,4.04,2,2014-02-27,SPA LaLiga,Manchester City,Chelsea,3,5
2.06,3.0,3.44,2,2012-05-15,FRA Ligue 1,PSG,Milan,0,3
2.7,5.0,2.4,X,2018-03-18,FRA Ligue 1,Real Madrid,Liverpool,4,4
3.82,4.27,3.81,2,2015-02-12,ITA Serie A,Chelsea,Inter,0,5
2.96,4.48,4.04,2,2013-06-04,ITA Serie A,PSG,Liverpool,2,3
2.47,3.25,4.78,X,2010-03-03,GER Bundesliga,Liverpool,Juventus,4,4
4.54,3.54,2.23,2,2022-08-29,SPA LaLiga,PSG,Real Madrid,4,5
3.66,5.35,1.94,1,2024-11-29,ENG PL,Chelsea,Barcelona,5,0
4.45,4.35,4.28,2,2016-03-12,ENG PL,Bayern,Real Madrid,0,3
3.06,4.81,2.11,1,2016-08-28,ITA Serie A,Milan,Liverpool,4,0
1.87,2.6,1.72,1,2010-10-30,ITA Serie A,Manchester City,Bayern,5,4
3.82,5.49,2.64,1,2017-10-29,SPA LaLiga,Milan,PSG,1,0
1.67,3.78,4.36,2,2020-08-15,GER Bundesliga,Barcelona,Manchester City,0,5
3.12,3.75,4.25,1,2010-05-18,SPA LaLiga,Barcelona,Bayern,5,4
2.44,2.8,1.54,X,2016-08-15,GER Bundesliga,Milan,Bayern,2,2
2.43,3.53,1.94,1,2013-03-20,SPA LaLiga,Chelsea,Juventus,5,2
3.8,4.2,4.63,1,2015-07-13,SPA LaLiga,Bayern,Liverpool,5,1
1.62,4.7,3.11,2,2011-07-27,GER Bundesliga,Manchester City,PSG,2,3
3.31,3.24,2.67,1,2024-09-10,FRA Ligue 1,Chelsea,Manchester City,4,3
2.06,3.58,4.02,1,2021-06-14,SPA LaLiga,Juventus,Barcelona,5,2
3.63,3.29,4.74,1,2016-01-22,GER Bundesliga,PSG,Bayern,5,0
3.37,3.76,4.89,X,2014-05-27,FRA Ligue 1,Chelsea,Liverpool,0,0
4.95,2.9,3.33,1,2021-06-27,SPA LaLiga,Barcelona,PSG,3,2
4.27,3.48,2.54,X,2016-09-19,FRA Ligue 1,Juventus,Bayern,0,0
3.73,3.44,2.06,2,2016-04-01,ENG PL,Bayern,Real Madrid,0,4
2.43,5.18,2.87,1,2017-02-09,FRA Ligue 1,Inter,PSG,2,1
3.37,3.74,3.71,2,2018-12-14,ENG PL,Manchester City,Barcelona,0,4
4.59,2.64,2.67,1,2011-09-11,GER Bundesliga,Bayern,Inter,3,0
4.74,4.09,2.54,2,2022-08-17,ITA Serie A,Barcelona,Real Madrid,2,5
2.53,3.22,4.71,1,2012-09-27,GER Bundesliga,Juventus,Milan,3,2
1.97,2.75,2.23,X,2020-10-28,GER Bundesliga,Real Madrid,Milan,2,2
4.65,3.36,1.87,2,2019-11-29,SPA LaLiga,Juventus,Chelsea,0,5
4.46,5.39,4.53,2,2014-07-08,ITA Serie A,PSG,Juventus,2,3
3.39,2.84,2.65,1,2023-03-04,ITA Serie A,Milan,PSG,5,3
3.7,5.01,2.92,2,2023-04-03,SPA LaLiga,Milan,Liverpool,3,5
3.09,2.81,4.76,2,2019-03-14,ENG PL,Liverpool,Real Madrid,2,5
4.18,2.62,3.03,2,2018-08-21,FRA Ligue 1,Manchester City,Inter,2,3
2.95,4.59,5.85,1,2024-10-12,SPA LaLiga,Real Madrid,Manchester City,2,1
4.3,3.87,2.3,2,2016-04-12,GER Bundesliga,Inter,Chelsea,1,5
4.52,5.5,2.45,2,2019-01-22,GER Bundesliga,Chelsea,Real Madrid,0,5
4.38,3.33,5.83,2,2017-08-22,ENG PL,Real Madrid,PSG,0,5
2.82,4.75,4.82,1,2019-05-01,SPA LaLiga,Milan,PSG,5,0
3.83,4.98,3.13,X,2017-03-14,ITA Serie A,Milan,Juventus,2,2
1.33,3.34,5.46,2,2020-11-25,FRA Ligue 1,Bayern,Manchester City,0,1
2.07,4.43,4.29,X,2016-11-23,GER Bundesliga,Bayern,Chelsea,2,2
